,0,1,2,3
107,282563,2018/10/19 20:00,1.52659,24.0083
108,283027,2018/10/19 20:00,1.35412,28.1927
109,282354,2018/10/19 20:00,1.39824,26.6911
110,281974,2018/10/19 20:00,1.42942,25.5418
111,282153,2018/10/19 20:00,1.85733,19.9753
112,282330,2018/10/19 20:00,1.59028,22.4808
113,282905,2018/10/19 20:00,1.48863,29.7457
114,281976,2018/10/19 20:00,1.40354,21.6344
115,282991,2018/10/19 20:00,1.71811,20.802
116,283177,2018/10/19 20:00,1.34416,46.1573
117,282155,2018/10/19 20:00,1.66853,24.4415
118,282548,2018/10/19 20:00,1.37704,26.3238
119,282907,2018/10/19 20:00,1.29578,31.0003
120,281978,2018/10/19 20:00,1.30867,32.7644
121,282157,2018/10/19 20:00,1.58153,25.9613
122,282994,2018/10/19 20:00,1.19911,31.0117
123,282472,2018/10/19 20:00,1.62349,22.7307
124,281980,2018/10/19 20:00,1.40867,26.3801
125,282097,2018/10/19 20:00,1.35674,29.2166
126,282391,2018/10/19 20:00,1.44254,30.7754
127,282059,2018/10/19 20:00,1.45934,29.6664
128,282810,2018/10/19 20:00,1.40709,29.498
129,281982,2018/10/19 20:00,1.42925,23.7342
130,282830,2018/10/19 20:00,1.47435,27.6388
131,282299,2018/10/19 20:00,1.81497,18.6461
132,282652,2018/10/19 20:00,1.50908,29.9011
133,282812,2018/10/19 20:00,1.42563,27.3501
134,281984,2018/10/19 20:00,1.55156,21.7813
135,283166,2018/10/19 20:00,1.34836,37.4293
136,282366,2018/10/19 20:00,2.05222,18.3361
137,281986,2018/10/19 20:00,2.24771,16.2157
138,282557,2018/10/19 20:00,1.75383,22.8899
139,283062,2018/10/19 20:00,2.26029,19.3317
140,282795,2018/10/19 20:00,2.4635,13.6216
141,282368,2018/10/19 20:00,1.28747,62.4332
142,282418,2018/10/19 20:00,1.50617,25.4768
143,281988,2018/10/19 20:00,1.44934,25.1493
144,282226,2018/10/19 20:00,1.79268,20.3842
145,282559,2018/10/19 20:00,2.17719,18.3637
146,282459,2018/10/19 20:00,1.51177,27.7591
147,282797,2018/10/19 20:00,1.48235,36.0859
148,282679,2018/10/19 20:00,1.32386,33.4305
149,282919,2018/10/19 20:00,1.96396,20.6799
150,282128,2018/10/19 20:00,1.51103,24.7843
151,282878,2018/10/19 20:00,3.15073,10.7643
152,282837,2018/10/19 20:00,1.458,28.462
153,282306,2018/10/19 20:00,1.41635,29.7449
154,283150,2018/10/19 20:00,1.37578,32.8843
155,283086,2018/10/19 20:00,1.57667,32.1478
156,282721,2018/10/19 20:00,2.03245,20.0578
157,282269,2018/10/19 20:00,1.44414,28.9
158,283332,2018/10/19 20:00,1.46583,24.9427
159,282308,2018/10/19 20:00,1.41125,27.0425
160,283152,2018/10/19 20:00,1.53142,29.9563
161,283374,2018/10/19 20:00,1.23782,33.194
162,281953,2018/10/19 20:00,1.26015,34.9952
163,282210,2018/10/19 20:00,1.44115,25.7859
164,282903,2018/10/19 20:00,1.24556,37.1082
165,282723,2018/10/19 20:00,1.63183,23.117
166,282564,2018/10/19 20:00,1.30049,30.5576
167,282487,2018/10/19 20:00,1.51508,24.7602
168,282310,2018/10/19 20:00,1.68903,20.6778
169,282783,2018/10/19 20:00,1.53875,23.2031
170,282685,2018/10/19 20:00,1.84978,19.988
171,281917,2018/10/19 20:00,1.53699,26.329
172,282725,2018/10/19 20:00,1.78714,20.0578
173,281996,2018/10/19 20:00,1.05397,103.476
174,283398,2018/10/19 20:00,1.23866,74.2542
175,283158,2018/10/19 20:00,1.24545,46.1007
176,282727,2018/10/19 20:00,1.53125,24.3424
177,283218,2018/10/19 20:00,1.28862,42.052
178,283277,2018/10/19 20:00,1.25733,44.0784
179,283400,2018/10/19 20:00,1.65667,24.7122
180,282118,2018/10/19 20:00,1.77934,22.9615
181,282473,2018/10/19 20:00,1.63835,23.862
182,283279,2018/10/19 20:00,1.18329,53.9872
183,283402,2018/10/19 20:00,1.67611,28.104
184,283281,2018/10/19 20:00,2.13369,28.1921
185,282260,2018/10/19 20:00,2.85149,12.624
186,282300,2018/10/19 20:00,1.80849,18.9436
187,283283,2018/10/19 20:00,1.60717,32.1167
188,282043,2018/10/19 20:00,1.94701,17.8634
189,282262,2018/10/19 20:00,2.38862,15.0433
190,282696,2018/10/19 20:00,1.6861,22.1508
191,282302,2018/10/19 20:00,1.24185,79.1991
192,282045,2018/10/19 20:00,1.73681,19.5654
193,282205,2018/10/19 20:00,1.90581,18.283
194,282304,2018/10/19 20:00,1.78606,38.3376
195,282816,2018/10/19 20:00,1.52498,22.3333
196,282246,2018/10/19 20:00,1.74525,19.33
197,282719,2018/10/19 20:00,1.86189,19.7897
198,283309,2018/10/19 20:00,1.51483,25.4765
199,281990,2018/10/19 20:00,1.55488,21.596
200,282701,2018/10/19 20:00,3.35064,9.17909
201,282504,2018/10/19 20:00,2.91846,14.1303
202,282383,2018/10/19 20:00,1.37249,37.2576
203,282741,2018/10/19 20:00,1.60638,22.6336
204,283212,2018/10/19 20:00,2.90591,17.7057
205,282353,2018/10/19 20:00,1.73774,19.509
206,282424,2018/10/19 20:00,3.35871,14.7231
207,283375,2018/10/19 20:00,1.43668,25.9747
208,282603,2018/10/19 20:00,1.30431,34.8775
209,282883,2018/10/19 20:00,1.28644,34.9629
210,283049,2018/10/19 20:00,1.93066,21.1087
211,283214,2018/10/19 20:00,1.12399,61.5225
212,282445,2018/10/19 20:00,1.40402,30.5277
213,282861,2018/10/19 20:00,1.21892,33.8354
214,282426,2018/10/19 20:00,1.68698,26.3951
215,282234,2018/10/19 20:00,2.12963,18.4152
216,282357,2018/10/19 20:00,2.88084,11.9487
217,282094,2018/10/19 20:00,1.37784,30.913
218,282646,2018/10/19 20:00,1.22186,29.7668
219,283536,2018/10/19 20:00,1.28494,34.937
220,282428,2018/10/19 20:00,2.90705,10.5826
221,283538,2018/10/19 20:00,1.17783,57.9932
222,282668,2018/10/19 20:00,1.23385,51.6543
